,spatial,typicalAgeRange,physicalSampleAvailability,followup,pathway
432,"['https://www.geonames.org/3042225/isle-of-man.html', 'https://www.geonames.org/3042363/guernsey.html', 'https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/2641364/northern-ireland.html']",0-115,['NOT AVAILABLE'],> 10 YEARS,Secondary Care pathway. This dataset covers critical care periods for inpatient admissions to hospitals in England. It includes information on the treatment and outcome of the critical care period and can be linked to the HES APC dataset to get further information on the admission relating to the critical care period.
433,"['United Kingdom,England,West Midlands']",0-150,['NOT AVAILABLE'],OTHER,N/A
434,['https://www.geonames.org/6269131/england.html'],18-150,['NOT AVAILABLE'],0 - 6 MONTHS,Data forming the Covid-19 Second Generation Surveillance Systems data set relate to demographic and diagnostic information from Pillar 1 swab testing in PHE labs and NHS hospitals and Pillar 2 Swab testing in the community.
435,England,0-100,"['BONE MARROW', 'CANCER CELL LINES', 'DNA', 'PLASMA']",OTHER,Primary care
436,England,18-150,['NOT AVAILABLE'],UNKNOWN,NOT APPLICABLE
437,https://www.geonames.org/2638360/scotland.html,18-65,['NOT AVAILABLE'],OTHER,Not Available
438,['https://www.geonames.org/1733045/malaysia.html'],0-19,['NOT AVAILABLE'],OTHER,Blood results
439,['https://www.geonames.org/2634895/wales.html'],0-150,['NOT AVAILABLE'],OTHER,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
440,"['United Kingdom,England,East Midlands']",0-150,['IN PROGRESS'],OTHER,"COVID-19 administered in community clinics, mass vaccination centres"
441,England,15-110,['NOT AVAILABLE'],OTHER,"This dataset contains all accident & emergency, inpatient and outpatient activity related to NWL patient population. Each patient would be identifiable using an unique patient key that can be used to link to other datasets, this will help track the patient pathway"
442,['https://www.geonames.org/2634895/wales.html'],12-110,['IMMORTALIZED CELL LINES'],1 - 10 YEARS,Secondary care
443,['https://www.geonames.org/2634895/wales.html'],0-115,['NOT AVAILABLE'],OTHER,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care.  Data focuses on in-patient stay in hospital during the acute episode, but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
444,['https://www.geonames.org/2638360/scotland.html'],0-150,"['DNA', 'WHOLE BLOOD']",OTHER,N/A
445,"West Midlands Region, UK",0-150,['NOT AVAILABLE'],OTHER,Secondary care
446,['https://www.geonames.org/11591953/west-midlands.html'],0-150,['NOT AVAILABLE'],UNKNOWN,This dataset is representative of England and includes all patients registered on the ONS registry and so is complete
447,['https://www.geonames.org/2635167/united-kingdom.html'],0-4,['NOT AVAILABLE'],> 10 YEARS,"This dataset is representative of the patient pathway for community screening of diabetic eye disease and grading.  This DES dataset is linked within this dataset to include those patients who were then subsequently admitted to the Queen Elizabeth Hospital, University Hospitals Birmingham NHS Trust for cardiac conditions.  This limits the dataset to only those patients who have been seen both in screening and then subsequently in the hospital for heart disease.  "
448,"['https://www.geonames.org/6269131/', 'https://www.geonames.org/2634895/']",10-110,['NOT AVAILABLE'],OTHER,"The NICOR datasets focus primarily on secondary care and therfore do not cover the whole patient pathway. The audit data may be linked with other primary cars datasets e.g, General Practice Extraction Services (GPES) to give a better undestanding of care pathways and how disease and treatments are manged over time."
449,['https://www.geonames.org/2638360/scotland.html'],0-150,['IN PROGRESS'],OTHER,Secondary care
450,['https://www.geonames.org/2638360/scotland.html'],0-100,['NOT AVAILABLE'],1 - 10 YEARS,"This dataset is representative of the patient pathway as we have data from all care settings (primary care, acute, mental health, community and social care). We also have data for all disease areas and hence able to track the pathway for all diseases."
451,England,40-150,['AVAILABILITY TO BE CONFIRMED'],> 10 YEARS,Cancer
452,['https://www.geonames.org/2634343/west-midlands.html'],0-150,"['DNA', 'PLASMA', 'SERUM']",OTHER,MEDICINES IN COMMUNITY SETTINGS
453,"['United Kingdom,Scotland']",0-29,['AVAILABILITY TO BE CONFIRMED'],1 - 10 YEARS,Secondary Care pathway. This dataset covers inpatient admissions to hospitals in England. It includes information on the treatment and outcome of the hospital admission and can be linked to the HES A&E dataset to further the pathway if an A&E attendance took place prior to an admissions to hospital.
454,https://www.geonames.org/countries/GB/united-kingdom.html,0-15,['NOT AVAILABLE'],OTHER,"The West Midlands (WM) has a population of 5.9million & includes a diverse ethnic, socio-economic mix. There is a higher than average percentage of minority ethnic groups with Birmingham having a population which is >40% non-white. WM has a large number of elderly residents but Birmingham is one of the youngest cities in the UK.  There is social deprivation and Birmingham’s population suffers with particularly high rates of illness; including cerebrovascular Disease, physical inactivity, obesity, smoking, hypertension, ischaemic heart disease & diabetes.  There are also high levels of rare diseases, especially immunometabolic conditions.   The patients included in this dataset are representative of this diverse population and also include a wide age-range.  University Hospitals Birmingham NHS Foundation Trust (UHB) is one of the largest NHS Trusts in England, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & 100 ITU beds. UHB runs a fully electronic healthcare record (EHR) (PICS; Birmingham Systems), a shared primary & secondary care record (Your Care Connected) & a patient portal “My Health”.   The UHB ITU is divided into areas of speciality, including general ITU, but also liver, cardiothoracic and neurological designated units, which focus on patients with these specific organ-support issues. This dataset focuses on those patients who required a higher level of medical support and/or ventilatory support for any reason or purpose.   It includes all ventilator settings, oxygen support and all organ support treatments.  It assesses infections associated with ITU, all routine and specialist tests, all investigations, treatments and results.  It can be supplemented with data preceding and after the acute event, to understand risks of susceptibility and long-term outcomes. Although primarily secondary care, this dataset can be supplemented with ambulance and primary care data on request.  PIONEER can also offer synthetic data, images and access to a secure Trusted Research Environment for analytics and AI.  
PIONEER can assist with analytics, model build, validation & refinement; A.I.; Data partner support for ETL (extract, transform & load) process, Clinical expertise, Patient & end-user access, Purchaser access, Regulatory requirements, Data-driven trials, “fast screen” services."
455,"['https://www.geonames.org/3042225/isle-of-man.html', 'https://www.geonames.org/3042363/guernsey.html', 'https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/2641364/northern-ireland.html']",15-49,['NOT AVAILABLE'],OTHER,Not applicable
456,['https://www.geonames.org/6269131/england.html'],40-150,['NOT AVAILABLE'],OTHER,Single specialty - speech and language therapy in secondary care and community services
457,https://www.geonames.org/11591951/yorkshire-and-the-humber.html,Not Known,['NOT AVAILABLE'],1 - 10 YEARS,Secondary care
458,Wales,0-120,['NOT AVAILABLE'],UNKNOWN,NOT APPLICABLE
459,"['United Kingdom,England']",0-10,['NOT AVAILABLE'],UNKNOWN,Patients undergoing lower limb bypass/surgical revascularisation procedures in hospitals in the UK that have been entered and submitted onto the National Vascular Registry
460,https://www.geonames.org/2649808/exeter.html,0-150,"['SALIVA', 'WHOLE BLOOD']",> 10 YEARS,Secondary care
461,['https://www.geonames.org/1733045/malaysia.html'],40-150,['NOT AVAILABLE'],6 - 12 MONTHS,Cancer registration data are collected from a range of health care provider systems and other services.
462,England,0-150,['NOT AVAILABLE'],UNKNOWN,This dataset contains information related to all patients prescribed high cost drugs in hospital. Every patient is identified by an unique patient key that can be used to link to other Discover-NOW datasets to derive the patient pathway
463,['https://www.geonames.org/2634895/wales.html'],18-150,"['DNA', 'PLASMA', 'SERUM']",UNKNOWN,Covers pathway from diagnosis to 3 months after surgery
464,England,18-150,['NOT AVAILABLE'],6 - 12 MONTHS,"The Maternity Services Data Set (MSDS) is a patient-level data set that captures key information generated as part of care within maternity service providers at each stage of the maternity care pathway including the antenatal pathway, the birth episode pathway, and the postnatal pathway. The antenatal pathway starts when the pregnant woman has her first antenatal appointment with her maternity provider, at around 10 weeks’ gestation. The MSDS continues to capture information until the date on which the mother ceased to be cared for in maternity services. Information on care prior to the first antenatal booking appointment or following discharge from maternity services is not contained in the MSDS."
465,https://www.geonames.org/2638360/scotland.html,60-150,['NOT AVAILABLE'],OTHER,Secondary care
466,England,11-17,['NOT AVAILABLE'],OTHER,Data is representative of the patient pathway. Readmissions for reasons other than revision surgery are not collected.
467,['https://www.geonames.org/1176615/islamabad.html'],15-105,['NOT AVAILABLE'],OTHER,Not Available
468,England,15-150,['NOT AVAILABLE'],> 10 YEARS,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
469,Wales,18-110,['NOT AVAILABLE'],OTHER,No
470,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",18-150,['NOT AVAILABLE'],OTHER,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white).  Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care.  Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
471,['https://www.geonames.org/2643743/london.html'],40-79,['NOT AVAILABLE'],OTHER,This dataset relates to single event (death)
472,['https://www.geonames.org/2634343/west-midlands.html'],18-80,"['PERIPHERAL BLOOD CELLS', 'PLASMA', 'SALIVA', 'SERUM', 'TISSUE', 'WHOLE BLOOD']",UNKNOWN,
473,England,0-115,['NOT AVAILABLE'],OTHER,
474,"['United Kingdom,England,West Midlands']",28-52,['NOT AVAILABLE'],1 - 10 YEARS,
475,https://www.geonames.org/6269131/england.html,0-150,['NOT AVAILABLE'],1 - 10 YEARS,
476,"[""United Kingdom,England,Eastern,King's Lynn and West Norfolk"", 'United Kingdom,England,Eastern,North Norfolk', 'United Kingdom,England,Eastern,South Norfolk', 'United Kingdom,England,Eastern,Breckland', 'United Kingdom,England,Eastern,Great Yarmouth', 'United Kingdom,England,Eastern,Broadland', 'United Kingdom,England,Eastern,Norwich']",50-110,['AVAILABILITY TO BE CONFIRMED'],UNKNOWN,
477,"['United Kingdom,England,East Midlands']",0-150,['NOT AVAILABLE'],> 10 YEARS,
478,England,17-100,['NOT AVAILABLE'],OTHER,
479,https://www.geonames.org/1210997/bangladesh.html,0-150,"['DNA', 'PLASMA', 'SERUM']",1 - 10 YEARS,
480,['https://www.geonames.org/11591953/west-midlands.html'],18-70,['NOT AVAILABLE'],1 - 10 YEARS,
481,West Yorkshire and Harrogate ICS,0-15,"['PERIPHERAL BLOOD CELLS', 'PLASMA', 'RNA', 'SERUM', 'WHOLE BLOOD']",OTHER,
482,['https://www.geonames.org/2634895/wales.html'],18-150,"['FAECES', 'PLASMA', 'SALIVA', 'SERUM', 'URINE', 'WHOLE BLOOD']",1 - 10 YEARS,
483,https://www.geonames.org/2648147/great-britain.html,18-85,['NOT AVAILABLE'],UNKNOWN,
484,"Midlands, UK",18-100,['NOT AVAILABLE'],UNKNOWN,
485,['https://www.geonames.org/2634895/wales.html'],0-100,['NOT AVAILABLE'],1 - 10 YEARS,
486,https://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html,0-150,['IN PROGRESS'],UNKNOWN,
487,United Kingdom (https://www.geonames.org/2635167/united-kingdom.html),18-150,['NOT AVAILABLE'],1 - 10 YEARS,
488,['https://www.geonames.org/6269131/england.html\nhttps://www.geonames.org/2634895/wales.html\nhttps://www.geonames.org/2638360/scotland.html'],19-105,['NOT AVAILABLE'],OTHER,
489,https://www.geonames.org/countries/GB/united-kingdom.html,11-49,"['DNA', 'PLASMA', 'SERUM']",UNKNOWN,
490,Wales,0-150,['NOT AVAILABLE'],1 - 10 YEARS,
491,['https://www.geonames.org/2634895/wales.html'],0-150,['NOT AVAILABLE'],1 - 10 YEARS,
492,['https://www.geonames.org/2634343/west-midlands.html'],0-1,['NOT AVAILABLE'],UNKNOWN,
493,['https://www.geonames.org/2635167/united-kingdom.html'],40-150,['NOT AVAILABLE'],> 10 YEARS,
494,['https://www.geonames.org/2634895/wales.html'],0-19,['NOT AVAILABLE'],1 - 10 YEARS,
495,"['https://www.geonames.org/3042225/isle-of-man.html', 'https://www.geonames.org/3042363/guernsey.html', 'https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/2641364/northern-ireland.html']",0-150,['NOT AVAILABLE'],0 - 6 MONTHS,
496,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/2638360/scotland.html', 'https://www.geonames.org/3042225/isle-of-man.html']",0-100,['NOT AVAILABLE'],> 10 YEARS,
497,England,0-0,['NOT AVAILABLE'],1 - 10 YEARS,
498,Wales,30-99,['AVAILABILITY TO BE CONFIRMED'],OTHER,
499,"['https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/6269131/england.html']",65-85,['NOT AVAILABLE'],UNKNOWN,
500,https://www.geonames.org/2641364/northern-ireland.html,18-85,['NOT AVAILABLE'],1 - 10 YEARS,
501,https://www.geonames.org/2644688/leeds.html,9-11,['NOT AVAILABLE'],OTHER,
502,['https://www.geonames.org/countries/GB/united-kingdom.html'],15-150,['NOT AVAILABLE'],0 - 6 MONTHS,
503,['https://www.geonames.org/1269750/republic-of-india.html'],0-150,['NOT AVAILABLE'],6 - 12 MONTHS,
504,Wales,0-150,['NOT AVAILABLE'],1 - 10 YEARS,
505,https://www.geonames.org/2635167/united-kingdom.html,0-4,['NOT AVAILABLE'],> 10 YEARS,
506,Wales,Not Known,['TISSUE'],OTHER,
507,England,0-4,['NOT AVAILABLE'],> 10 YEARS,
508,['ttps://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html'],0-4,['IMMORTALIZED CELL LINES'],0 - 6 MONTHS,
509,['https://www.geonames.org/1733045/malaysia.html'],0-51,['NOT AVAILABLE'],OTHER,
510,https://www.geonames.org/2641364/northern-ireland.html,18-85,['NOT AVAILABLE'],1 - 10 YEARS,
511,['https://www.geonames.org/2638360/scotland.html'],0-120,"['DNA', 'PLASMA', 'SERUM', 'TISSUE', 'URINE']",CONTINUOUS,
512,England,5-9,"['PLASMA', 'SALIVA', 'SERUM', 'WHOLE BLOOD']",OTHER,
513,['https://www.geonames.org/2638360/scotland.html'],18-91,"['DNA', 'PLASMA', 'PM TISSUE', 'SERUM', 'URINE']",OTHER,
514,['https://www.geonames.org/2638360/scotland.html'],15-115,['NOT AVAILABLE'],UNKNOWN,
515,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2638360/scotland.html', 'https://www.geonames.org/2634895/wales.html']",0-150,['NOT AVAILABLE'],0 - 6 MONTHS,
516,['England (https://www.geonames.org/6269131/england.html)'],0-120,['NOT AVAILABLE'],1 - 10 YEARS,
517,Wales,0-150,['NOT AVAILABLE'],1 - 10 YEARS,
518,['https://www.geonames.org/2638360/scotland.html'],0-150,['NOT AVAILABLE'],1 - 10 YEARS,
519,Salford and South Manchester,18-150,['NOT AVAILABLE'],1 - 10 YEARS,
520,"West Midlands Region, UK",0-150,['NOT AVAILABLE'],UNKNOWN,
521,NHS Brent CCG; NHS Central London CCG; NHS Ealing CCG; NHS Hammersmith &Fulham CCG; NHS Harrow CCG; NHS Hillingdon CCG; NHS Hounslow CCG; NHS West London CCG,0-150,['NOT AVAILABLE'],1 - 10 YEARS,
522,Wales,0-150,['NOT AVAILABLE'],UNKNOWN,
523,"['https://www.geonames.org/6269131/', 'https://www.geonames.org/2634895/']",0-150,['NOT AVAILABLE'],1 - 10 YEARS,
524,['https://www.geonames.org/2634895/wales.html'],20-99,['NOT AVAILABLE'],OTHER,
525,https://www.geonames.org/1168579/islamic-republic-of-pakistan.html,18-85,['NOT AVAILABLE'],> 10 YEARS,
526,"['https://www.geonames.org/2646895/hillingdon.html', 'https://www.geonames.org/2634341/city-of-westminster.html', 'https://www.geonames.org/3333157/royal-kensington-and-chelsea.html', 'https://www.geonames.org/3333151/harrow.html', 'https://www.geonames.org/3333132/brent.html', 'https://www.geonames.org/2650567/ealing.html', 'https://www.geonames.org/3333155/hounslow.html', 'https://www.geonames.org/3333149/hammersmith-and-fulham.html']",6-150,['NOT AVAILABLE'],OTHER,
527,['https://www.geonames.org/1733045/malaysia.html'],0-150,['NOT AVAILABLE'],OTHER,
528,['https://www.geonames.org/6269131/england.html'],10-150,['NOT AVAILABLE'],OTHER,
529,['https://www.geonames.org/2636157/tayside-region.html'],0-150,['NOT AVAILABLE'],UNKNOWN,
530,['https://www.geonames.org/2636157/tayside-region.html'],0-150,['NOT AVAILABLE'],1 - 10 YEARS,
531,England,15-150,['NOT AVAILABLE'],OTHER,
532,https://www.geonames.org/countries/GB/united-kingdom.html,15-150,['NOT AVAILABLE'],UNKNOWN,
533,United Kingdom (https://www.geonames.org/2635167/united-kingdom.html),0-150,['NOT AVAILABLE'],> 10 YEARS,
534,Wales,0-150,['SERUM'],6 - 12 MONTHS,
535,NHS Brent CCG; NHS Central London CCG; NHS Ealing CCG; NHS Hammersmith &Fulham CCG; NHS Harrow CCG; NHS Hillingdon CCG; NHS Hounslow CCG; NHS West London CCG,18-150,['NOT AVAILABLE'],OTHER,
536,England,0-150,['NOT AVAILABLE'],OTHER,
537,https://www.geonames.org/2641364/northern-ireland.html,0-150,['IN PROGRESS'],OTHER,
538,UK,0-120,['NOT AVAILABLE'],UNKNOWN,
539,England,18-150,['NOT AVAILABLE'],1 - 10 YEARS,
540,Wales,0-150,['NOT AVAILABLE'],1 - 10 YEARS,
541,England,0-150,['NOT AVAILABLE'],> 10 YEARS,
542,['https://www.geonames.org/2634895/wales.html'],0-115,['NOT AVAILABLE'],OTHER,
543,"['', 'https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",70-86,['NOT AVAILABLE'],OTHER,
544,https://www.geonames.org/1210997/bangladesh.html,0-150,['NOT AVAILABLE'],0 - 6 MONTHS,
545,https://www.geonames.org/2641364/northern-ireland.html,0-150,"['DNA', 'PLASMA', 'SERUM']",> 10 YEARS,
546,['https://www.geonames.org/11591955/london.html'],0-150,['NOT AVAILABLE'],> 10 YEARS,
547,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",0-120,['NOT AVAILABLE'],> 10 YEARS,
548,https://www.geonames.org/2638360/scotland.html,0-150,['NOT AVAILABLE'],UNKNOWN,
549,['https://www.geonames.org/6269131/england.html'],18-150,['NOT AVAILABLE'],OTHER,
550,['https://www.geonames.org/6269131/england.html'],18-100,['AVAILABILITY TO BE CONFIRMED'],> 10 YEARS,
551,['http://www.geonames.org/2638360/scotland.html'],0-150,"['DNA', 'SERUM', 'TISSUE', 'URINE', 'WHOLE BLOOD']",OTHER,
552,UK,>18,['NOT AVAILABLE'],UNKNOWN,
553,['https://www.geonames.org/2636157/tayside-region.html'],0-150,['NOT AVAILABLE'],OTHER,
554,"['United Kingdom,Scotland']",0-150,['NOT AVAILABLE'],OTHER,
555,United Kingdom,0-18,['NOT AVAILABLE'],0 - 6 MONTHS,
556,UK,0-100,['IN PROGRESS'],6 - 12 MONTHS,
557,Wales,0-150,['NOT AVAILABLE'],OTHER,
558,['https://www.geonames.org/6269131/england.html\nhttps://www.geonames.org/2634895/wales.html\nhttps://www.geonames.org/2638360/scotland.html'],0-115,['NOT AVAILABLE'],0 - 6 MONTHS,
559,['https://www.geonames.org/2643576/lothian.html'],0-150,['NOT AVAILABLE'],UNKNOWN,
560,India,Not Known,['NOT AVAILABLE'],OTHER,
561,['https://www.geonames.org/2634895/wales.html'],20-99,['IN PROGRESS'],UNKNOWN,
562,['https://www.geonames.org/2634895/wales.html'],0-115,['NOT AVAILABLE'],1 - 10 YEARS,
563,England,0-5,['NOT AVAILABLE'],> 10 YEARS,
564,https://www.geonames.org/2634343/west-midlands.html,0-150,['SWABS'],0 - 6 MONTHS,
565,England,0-150,['AVAILABILITY TO BE CONFIRMED'],OTHER,
566,['https://www.geonames.org/6269131/england.html'],18-71,['IN PROGRESS'],1 - 10 YEARS,
567,https://www.geonames.org/1168579/islamic-republic-of-pakistan.html,15-150,['NOT AVAILABLE'],UNKNOWN,
568,England,0-115,['NOT AVAILABLE'],OTHER,
569,['https://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html'],18-85,['NOT AVAILABLE'],OTHER,
570,https://www.geonames.org/2634343/west-midlands.html,16-150,['SERUM'],OTHER,
571,https://www.geonames.org/1168579/islamic-republic-of-pakistan.html,0-62,['IN PROGRESS'],1 - 10 YEARS,
572,"['https://www.geonames.org/3042225/isle-of-man.html,', 'https://www.geonames.org/3042363/guernsey.html', 'https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/2641364/northern-ireland.html']",0-112,['NOT AVAILABLE'],OTHER,
573,https://www.geonames.org/2641364/northern-ireland.html,0-20,['AVAILABILITY TO BE CONFIRMED'],,
574,['https://www.geonames.org/6252001/united-states.html'],0-150,['NOT AVAILABLE'],,
575,['https://www.geonames.org/2634895/wales.html'],18-65,['NOT AVAILABLE'],,
576,['https://www.geonames.org/6269131/england.html'],40-150,['NOT AVAILABLE'],,
577,https://www.geonames.org/2635167/united-kingdom.html,0-150,"['PLASMA', 'SERUM', 'URINE', 'WHOLE BLOOD']",,
578,['https://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html'],0-115,['NOT AVAILABLE'],,
579,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2638360/scotland.html', 'https://www.geonames.org/2634895/wales.html']",0-150,['NOT AVAILABLE'],,
580,['https://www.geonames.org/2634343/west-midlands.html'],20-100,['NOT AVAILABLE'],,
581,Wales,Not Known,['NOT AVAILABLE'],,
582,['https://www.geonames.org/2634895/wales.html'],0-150,['NOT AVAILABLE'],,
583,Oxfordshire,0-150,['NOT AVAILABLE'],,
584,England,0-115,['NOT AVAILABLE'],,
585,['https://www.geonames.org/2638360/scotland.html'],16-150,['NOT AVAILABLE'],,
586,['https://www.geonames.org/2635167/united-kingdom.html'],Not Known,"['DNA', 'PLASMA', 'SERUM']",,
587,['https://www.geonames.org/2634895/wales.html'],0-150,['NOT AVAILABLE'],,
588,https://www.geonames.org/2634343/west-midlands.html,16-150,['NOT AVAILABLE'],,
589,England,0-120,['NOT AVAILABLE'],,
590,https://www.geonames.org/6269131/england.html,0-150,['IN PROGRESS'],,
591,UK,Not Known,['NOT AVAILABLE'],,
592,['https://www.geonames.org/6269131/england.html'],0-150,['NOT AVAILABLE'],,
593,http://www.geonames.org/6269131/england.html,0-150,['NOT AVAILABLE'],,
594,England,0-150,['NOT AVAILABLE'],,
595,Wales,18-65,['NOT AVAILABLE'],,
596,England and Wales,0-4,['NOT AVAILABLE'],,
597,['https://www.geonames.org/2634895/wales.html'],16-45,['NOT AVAILABLE'],,
598,['United Kingdom'],Not Known,"['PLASMA', 'SERUM', 'TISSUE']",,
599,England,12-150,['NOT AVAILABLE'],,
600,https://www.geonames.org/2638360/scotland.html,0-150,['NOT AVAILABLE'],,
601,['https://www.geonames.org/2634895/wales.html'],0-115,"['DNA', 'PLASMA', 'SERUM']",,
602,"['https://www.geonames.org/2646895/hillingdon.html', 'https://www.geonames.org/2634341/city-of-westminster.html', 'https://www.geonames.org/3333157/royal-kensington-and-chelsea.html', 'https://www.geonames.org/3333151/harrow.html', 'https://www.geonames.org/3333132/brent.html', 'https://www.geonames.org/2650567/ealing.html', 'https://www.geonames.org/3333155/hounslow.html', 'https://www.geonames.org/3333149/hammersmith-and-fulham.html']",0-150,['NOT AVAILABLE'],,
603,Nottinghamshire,0-150,['NOT AVAILABLE'],,
604,['https://www.geonames.org/2638360/scotland.html'],15-150,['NOT AVAILABLE'],,
605,https://www.geonames.org/countries/GB/united-kingdom.html,0-150,['NOT AVAILABLE'],,
606,Scotland,0-150,"['WHOLE BLOOD', 'URINE']",,
607,['https://www.geonames.org/11591953/west-midlands.html'],0-150,"['DNA', 'PLASMA', 'SERUM', 'WHOLE BLOOD']",,
608,https://www.geonames.org/2641364/northern-ireland.html,0-150,['IN PROGRESS'],,
609,['https://www.geonames.org/6269131/england.html'],0-150,['NOT AVAILABLE'],,
610,['https://www.geonames.org/2634895/wales.html'],0-150,['OTHER'],,
611,['https://www.geonames.org/2634895/wales.html'],50-80,['NOT AVAILABLE'],,
612,England,0-56,['NOT AVAILABLE'],,
613,https://www.geonames.org/2634895/wales.html,0-150,['NOT AVAILABLE'],,
614,['https://www.geonames.org/countries/GB/united-kingdom.html'],40-150,"['DNA', 'PLASMA', 'SERUM', 'URINE', 'WHOLE BLOOD']",,
615,England,0-4,['NOT AVAILABLE'],,
616,UK,50-150,['NOT AVAILABLE'],,
617,['https://www.geonames.org/2636157/tayside-region.html'],0-150,['NOT AVAILABLE'],,
618,UK,Not Known,['NOT AVAILABLE'],,
619,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2638360/scotland.html']",0-150,"['DNA', 'PLASMA', 'SERUM', 'TISSUE']",,
620,https://www.geonames.org/2641364/northern-ireland.html,0-18,['NOT AVAILABLE'],,
621,"['United Kingdom,Scotland']",0-150,['NOT AVAILABLE'],,
622,England,0-150,['NOT AVAILABLE'],,
623,['https://www.geonames.org/2634895/wales.html'],>18,"['PLASMA', 'SERUM', 'TISSUE', 'WHOLE BLOOD']",,
624,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",0-150,"['DNA', 'PLASMA', 'SERUM']",,
625,['https://www.geonames.org/2638360/scotland.html'],16-150,['NOT AVAILABLE'],,
626,England,40-150,"['CANCER CELL LINES', 'DNA', 'PLASMA', 'SERUM', 'TISSUE']",,
627,Wales,0-4,"['CDNA/MRNA', 'MICRORNA', 'TISSUE', 'WHOLE BLOOD']",,
628,"['United Kingdom,Wales']",18-100,['DNA'],,
629,NHS Brent CCG; NHS Central London CCG; NHS Ealing CCG; NHS Hammersmith &Fulham CCG; NHS Harrow CCG; NHS Hillingdon CCG; NHS Hounslow CCG; NHS West London CCG,0-150,['NOT AVAILABLE'],,
630,Wales,18-85,['NOT AVAILABLE'],,
631,India,0-20,['NOT AVAILABLE'],,
632,Wales,0-120,"['DNA', 'PLASMA', 'SERUM']",,
633,['https://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html'],0-115,['NOT AVAILABLE'],,
634,Wales,0-4,['NOT AVAILABLE'],,
635,['https://www.geonames.org/2638360/scotland.html'],0-2,['NOT AVAILABLE'],,
636,['https://www.geonames.org/6269131/england.html\nhttps://www.geonames.org/2634895/wales.html\nhttps://www.geonames.org/2638360/scotland.html'],18-99,"['DNA', 'PLASMA', 'SERUM', 'URINE', 'WHOLE BLOOD']",,
637,Wales,18-80,"['DNA', 'PLASMA', 'SERUM']",,
638,https://www.geonames.org/2635167/united-kingdom.html,0-5,['NOT AVAILABLE'],,
639,Wales,18-100,['NOT AVAILABLE'],,
640,['https://www.geonames.org/2634895/wales.html'],Not Known,['NOT AVAILABLE'],,
641,"['United Kingdom,England']",35-100,['AVAILABILITY TO BE CONFIRMED'],,
642,['https://www.geonames.org/2634895/wales.html'],18-65,['NOT AVAILABLE'],,
643,"['https://www.geonames.org/2638360/scotland.html', 'https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/6269131/england.html']",0-115,['NOT AVAILABLE'],,
644,"['https://www.geonames.org/2636157/tayside-region.html', 'https://www.geonames.org/3333236/south-lanarkshire.html', 'https://www.geonames.org/3333233/north-lanarkshire.html', 'https://www.geonames.org/2646944/highland.html']",18-150,['NOT AVAILABLE'],,
645,England,18-55,['NOT AVAILABLE'],,
646,https://www.geonames.org/countries/GB/united-kingdom.html,30-70,['TISSUE'],,
