,description,associatedMedia,isPartOf
680,"CARIS aims to collect reliable data about congenital anomalies that can then be used to help:

- build up and monitor the picture of congenital anomalies in Wales
- assess interventions intended to help prevent or detect congenital anomalies
- plan and co-ordinate provision of health services for affected babies and children
- assess possible clusters of birth defects and their causes

CARIS collects information about any fetus or baby who has or is suspected of having a congenital anomaly and whose mother is normally resident in Wales at time of birth. It includes babies in whom anomalies are diagnosed at any time from conception to the end of the first year of life. Data collection commenced on 1st January 1998 and includes any baby where pregnancy ended after this date.

CARIS uses a multi-source data collection method using a wide range of sources within the NHS. This ranges from antenatal ultrasound, clinical letters, post-mortems and laboratory results. CARIS also accesses a number of databases including SHIRE (Medical Genetics database), PEDW, NCCHD, Paediatric Cardiology database. Medical records are accessed to confirm, validate and add further details to the information already collected.

Due to the nature of this dataset linkage based on the babies is challenging. This is because many pregnancies (approximately 20% of the total) end in fetal loss or termination. However, linkage based on the mother can be performed.",,UKCRC Tissue Directory and Coordination Centre
681,"The FLS-DB is a continuously ascertained, record-level dataset which commenced in January 2016. It contains data from England and Wales on the patterns of assessment and treatment for osteoporosis and falls, across primary and secondary care, in patients who have sustained a fragility fracture. Full dataset available: https://www.rcplondon.ac.uk/projects/outputs/participating-fls-db",,NWL Geography
682,"File contains basic public metadata, including sequence_name, location, date, pangolin lineage assignment, version and associated scores, scorpio VOC/VUI constellation call and associated scores, key spike protein mutations calls and a list of all nucleotide mutations found.",,BREATHE
683,Window study of the PARP inhibitor rucaparib in patients with primary triple negative or BRCA1/2 related breast cancer (RIO),,NOT APPLICABLE
684,"Information on reason for cancelled and postponed admitted procedures. Covers elective inpatient and day case activity. Be aware of several exclusion criteria: LHBs are required to submit data for elective inpatient and day case activity only via the submission of the postponed intended admission. Cancelled Regular Day / Night Attendance procedures are excluded. Maternity activity (i.e. Admission Method ‘31’ and ‘32’) is excluded. Inpatient and day case patients who are admitted and discharged without having their elective procedure undertaken are included. Those procedures that are brought forward are excluded. Procedures that are postponed one or more times during the same admitted stay but are subsequently performed during that admitted stay are excluded. Procedures that are postponed one or more times during the same admitted stay and not performed during that stay should be reported as one postponement. Procedures that are postponed twice for the same intended admission date should be counted as one postponement. Procedures that are postponed but are subsequently rescheduled and performed during the same admitted stay are excluded. Patients whose procedures were scheduled to take place outside Wales are excluded. Local Health Boards are required to submit data on Welsh residents whose procedures are intended to take place in their Local Health Board. For example, if a patient is on a waiting list in Cardiff University Health Board but are sent to Cwm Taf to have their procedure (waiting list initiative). Cwm Taf schedule the intended admission date and subsequently postpone the procedure, the postponement should be submitted by Cwm Taf. Velindre NHS Trust are excluded.

Formerly known as Cancelled Admitted Procedures Dataset.",,CPRD GOLD
685,,,Not Applicable
686,"Cafcass (Children and Family Court Advisory and Support Service) Wales Family Justice dataset.

The Children and Family Court Advisory and Support Service (Cafcass) looks after the interests of children involved in family proceedings. It is independent of the courts and social services, but works under the rules of the Family Court and legislation to work with children and their families, and then advise the courts on what is considered to be in the best interests of individual children.",,National Clinical Audit and Patient Outcomes Programme (NCAPOP)
687,"Providers of publicly-funded community services are legally mandated to collect and submit community health data, as set out by the Health and Social Care Act 2012. 

The Community Services Data Set (CSDS) expands the scope of the  Children and Young People's Health Services Data Set (CYPHS) data set, by removing the 0-18 age restriction. The CSDS supersedes the CYPHS data set, to allow adult community data to be submitted.

The structure and content of the CSDS remains the same as the CYPHS data set. The Community Information Data Set (CIDS) has been retired, to remove the need for a separate local collection and reduce burden on providers.

Reports from the CSDS are available to download from the Community Services Data Set reports webpage.",,NOT APPLICABLE
688,"Administrative information about individuals in Wales that use NHS services; such as address and practice registration history. It replaced the NHS Wales Administrative Register (NHSAR) in 2009.

Data drawn from GP practices via Exeter System.

This dataset provides linkage from anonymous individual to anonymous residences, thus enable to group households of individuals.",,NOT APPLICABLE
689,"The dataset contains quantitative and qualitative datasets. Quantitative dataset have questionnaire and spirometry data collected from randomly selected adult population. Whereas the qualitative data contains in depth interview data collected from patient, physician and different stakeholders from private and public health system in rural part of India. The purpose of this dataset collected is to assess the burden of CRD and its social and economic impact on the community and health system.

Chronic Respiratory Diseases (CRD) especially asthma & Chronic Obstructive Pulmonary Disease (COPD) are common public health problems with high prevalence and mortality rates across the world. Although the majority of deaths and disability occur in developing countries, there is very little data on the true prevalence of asthma and COPD in these countries. Chronic respiratory symptoms are common in the general population but weak primary health care systems in resource-poor countries are often unable to diagnose the underlying disease condition. Factors contributing to low rates of diagnosis include limited access to, negative perceptions of, and lack of diagnostic capability in healthcare facilities. Determining the prevalence of asthma & COPD in the community has remained a challenge because of the poor sensitivity and specificity of the widely used questionnaire-based research tools, while spirometry, which is the gold standard diagnostic test, is a challenge to use in community-based epidemiological surveys. 

Informed by a scoping review of existing questionnaires and protocols used in Low- and Middle-Income Countries (LMICs) to identify CRDs, we conducted a pilot survey to explore feasibility of using screening process in four countries (Bangladesh, India, Malaysia, and Pakistan). Our pilot findings will inform a future fully powered survey to determine the prevalence of asthma, COPD and other CRD in the community, using robust random sampling strategies, and quality assured spirometry undertaken by field workers.

For further information, see: https://www.ed.ac.uk/usher/respire/chronic-respiratory-disorders/estimating-chronic-respiratory-disease-burden",,CPRD GOLD
690,"Monitoring the 26 week Referral to Treatment Time target.

Monthly return submitted by Local Health Boards.

Treatment/diagnostic intervention referral pathway, including welsh residents treated (or waiting for treatment) in England.

https://data.gov.uk/dataset/169ea19a-21e0-472a-8245-ec2d60c219f9/referral-to-treatment-times-for-wales",,Maternity and Births
691,"The primary purpose of the Labour Force Survey (LFS) is ""providing good quality point in time and change estimates for various labour market outputs and related topics” (National Statistics Quality Review (NSQR) of Labour Force Survey 2014). The labour market covers all aspects of people's work, including the education and training needed to equip them for work, the jobs themselves, job-search for those out of work and income from work and benefits.  Output from the LFS is quarterly since 1992. Each quarter’s sample is made up of 5 waves. The sample is made up of approximately 40,000 responding UK households and 100,000 individuals per quarter. This dataset only coveres household responses. Respondents are interviewed for 5 successive waves at 3-monthly intervals and 20% of the sample is replaced every quarter. The LFS is intended to be representative of the entire population of the UK.",,BREATHE
692,Centre for Trials Research Cardiff University. Trial sample collections,,CPRD Aurum
693,"The 6-8 week review form is generally completed at around 6-8 weeks after the birth of the child and is often a health visitor and GP combined review. Examples of information collected include: feeding of baby (breast, bottle or both); parental concerns (feeding, appearance; behaviour; hearing; eyes; sleeping; movement; illness; crying; weight gain and other); development (gross motor, hearing & communication, vision & social awareness); physical (length, weight, heart, hips, testes, genitalia, femoral pulses and eyes); diagnoses/concerns (Read coded); sleeping position (prone, supine and side). Identification data such as name, address, GP etc. are also checked and updated.",,NOT APPLICABLE
694,"The dataset contains continuously ascertained patient-level data for patients undergoing carotid endarterectomy in NHS hospitals in England, Wales, Scotland and Northern Ireland. It includes referral, pre-procedural investigations and risk scoring, procedural details, follow up and in-hospital and 30-day mortality.",,NOT APPLICABLE
695,"Survey data of people who have been treated in Early Intervention Psychosis (EIP) services, about the care they have received, and how they feel about it. People who have used EIP services helped develop the survey, and the survey asks about elements of care they felt were important.",,UKCRC Tissue Directory and Coordination Centre
696,"The data covers prescriptions that are prescribed in Wales by GP's (general medical practitioners) and non medical prescribers that have prescribed on behalf of the GP practice, that are then dispensed in the community within Wales. The data includes all prescribed medicines, dressings and appliances that are dispensed each month. If a patient does not take a prescription to the pharmacy for dispensing, then the information will not be included in the dataset.  Information includes - the number of prescription items dispensed by each community pharmacy in Wales, broken down by the GP practice in which they prescribed, and also the number of prescription items prescribed in each GP practice in Wales broken down by the pharmacy that dispensed those items.",,National Clinical Audit and Patient Outcomes Programme (NCAPOP)
697,"The NIHR IBD Bioresource comprises ~34k participants with Inflammatory Bowel Disease (IBD). The NIHR IBD BioResource acquires a case report form at recruitment for each participant recruited on the basis of their disease. Typically variables include questions that may be used to partition or group patients by their disease course and severity, and include disease history and medication use. This is used to pre-screen or match participants when inviting them to take part in experimental medicine studies. De-identified versions of this data are available to researchers investigating the feasibility of future studies.",,UKCRC Tissue Directory and Coordination Centre
698,Schools and Pupil data for Wales. See table descriptions for further detail.,,HES
699,"Cancer Network Information System includes multidisciplinary team diagnosis, proposed treatments, and a system-generated summary of the patient’s cancer record",,N/A
700,"Hospital Episode Statistics (HES) is a database containing details of all admissions, A and E attendances and outpatient appointments at NHS hospitals in England.

Adult Critical Care (ACC) is a subset of APC data. An Intensive Care Unit (ICU) or High Dependency Unit (HDU) ward in a hospital, known as a critical care unit, provides support, monitoring and treatment for critically ill patients requiring constant support and monitoring to maintain function in at least one organ, and often in multiple organs. Medical equipment is used to take the place of patients’ organs during their recovery.

Some critical care units are attached to condition-specific treatment units, such as heart, kidney, liver, breathing, circulation or nervous disorders. Others specialise in neonatal care (babies), paediatric care (children) or patients with severe injury or trauma.

Initially this data is collected during a patient's time at hospital as part of the Commissioning Data Set (CDS). This is submitted to NHS Digital for processing and is returned to healthcare providers as the Secondary Uses Service (SUS) data set and includes information relating to payment for activity undertaken. It allows hospitals to be paid for the care they deliver.

This same data can also be processed and used for non-clinical purposes, such as research and planning health services. Because these uses are not to do with direct patient care, they are called 'secondary uses'. This is the HES data set.

HES data covers all NHS Clinical Commissioning Groups (CCGs) in England, including:

private patients treated in NHS hospitals patients resident outside of England care delivered by treatment centres (including those in the independent sector) funded by the NHS Each HES record contains a wide range of information about an individual patient admitted to an NHS hospital, including:

clinical information about diagnoses and operations patient information, such as age group, gender and ethnicity administrative information, such as dates and methods of admission and discharge geographical information such as where patients are treated and the area where they live We apply a strict statistical disclosure control in accordance with the NHS Digital protocol, to all published HES data. This suppresses small numbers to stop people identifying themselves and others, to ensure that patient confidentiality is maintained.",,CPRD GOLD
701,"Office for National Statistics (ONS) register of all births in Wales.

The data are collected from birth registrations.",,"ONS, COVID"
702,"The National Neonatal Audit Programme (NNAP) assesses whether babies admitted to neonatal units receive consistent high quality care. This continuous audit assesses the processes of care for babies admitted for neonatal care in England, Scotland and Wales. Data are downloaded from the BadgerNet patient record system used in neonatal units.",,Unscheduled Care
703,"As COVID-19 is a new disease, there is a need to identify the long term consequences and future care needs of COVID19 survivors. Follow-COVID has recruited over 100 patients and has used  blood testing, urine, respiratory samples, and tests of blood vessel function to measure the long term consequences of this disease.

The study consists of a preliminary patient visit, followed by a second in-person visit several months later. There are then phone call consultations 1 year, 2 years and 5 years after the first visit, giving a longitudinal view of the progression of symptoms and long covid.",,NOT APPLICABLE
704,"In over 100 years of blood donation practice, INTERVAL is the first randomised controlled trial to assess the impact of varying the frequency of blood donation on donor health and the blood supply. It provided policy-makers with evidence that collecting blood more frequently than current intervals can be implemented over two years without impacting on donor health, allowing better management of the supply to the NHS of units of blood with in-demand blood groups. INTERVAL was designed to deliver a multi-purpose strategy: an initial purpose related to blood donation research aiming to improve NHS Blood and Transplant’s core services and a longer-term purpose related to the creation of a comprehensive resource that will enable detailed studies of health-related questions.

Approximately 50,000 generally healthy blood donors were recruited between June 2012 and June 2014 from 25 NHS Blood Donation centres across England. Approximately equal numbers of men and women; aged from 18-80; ~93% white ancestry. All participants completed brief online questionnaires at baseline and gave blood samples for research purposes. Participants were randomised to giving blood every 8/10/12 weeks (for men) and 12/14/16 weeks (for women) over a 2-year period. ~30,000 participants returned after 2 years and completed a brief online questionnaire and gave further blood samples for research purposes. 

The baseline questionnaire includes brief lifestyle information (smoking, alcohol consumption, etc), iron-related questions (e.g., red meat consumption), self-reported height and weight, etc. The SF-36 questionnaire was completed online at baseline and 2-years, with a 6-monthly SF-12 questionnaire between baseline and 2-years.

All participants have had the Affymetrix Axiom UK Biobank genotyping array assayed and then imputed to 1000G+UK10K combined reference panel (80M variants in total). 4,000 participants have 50X whole-exome sequencing and 12,000 participants have 15X whole-genome sequencing. Whole-blood RNA sequencing has commenced in ~5,000 participants.

The dataset also contains data on clinical chemistry biomarkers, blood cell traits, >200 lipoproteins, metabolomics (Metabolon HD4), lipidomics, and proteomics (SomaLogic, Olink), either cohort-wide or is large sub-sets of the cohort.",,NOT APPLICABLE
705,"Integrated Community Case Management (iCCM) is a World Health Organization (WHO) approach in which community health workers deliver basic healthcare services in the community setting, including childhood pneumonia treatment.

The WHO pneumonia guidelines are sensitive but non-specific, in order to ensure that children with possible pneumonia receive antibiotic treatment. As a result, while the guidelines miss few children with pneumonia (high sensitivity), many children who do not have pneumonia incorrectly receive antibiotics (low specificity), resulting in antibiotic overuse.

The WHO guidelines do not include lung auscultation (listening to lung sounds) in their pneumonia definition for frontline healthcare workers, likely due to its high inter-observer variability, regardless of healthcare providers’ training level. Digital auscultation by electronic stethoscopes may help to overcome these limitations. Inclusion of lung auscultation in the current algorithm could enhance the specificity of the guidelines.

This study aims to improve the diagnostic accuracy of child pneumonia by using automated lung sound classification through digital auscultation.

The embedded PhD will use the study data to (i) assess the consistency of lung sounds recorded by primary health care workers from under-five children using a digital stethoscope against pre-defined quality thresholds and (ii) determine the reliability and performance of the interpretations of recorded lung sounds by the Smartscope analysis system compared to reference interpretations by a paediatric listening panel.

For further information, see associated media

https://www.ed.ac.uk/usher/respire/phd-studentships/salahuddin-ahmed",,Child Health Surveillance Programme (CHSP)
706,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) virus stimulates a rapid antibody response in people with symptomatic and asymptomatic infection. Seroprevalence of SARS-CoV-2 antibodies in a population can serve as a useful measure of exposure and spread.To help plan key aspects of the public health response (e.g., shielding; eventual vaccination implementation strategies), decision-makers need regularly updated data on the evolution of SARS-CoV-2 infection (and potential immunity) in the community. The rationale is that serial longitudinal seroepidemiological surveys can help to quantify and monitor the proportion of the population that has antibodies against SARS-CoV-2, providing information on the proportion of the population exposed and the cumulative incidence of infection in the population. Hence, there is a strategic need for data from serial sero-survey studies of SARS-CoV-2 in UK.

To provide scientists and national decision-makers with detailed information to help control and understand the novel coronavirus pandemic (“COVID-19”), this study aims to track up to 90,000 individuals across England during the coming the year or so. Individuals who participated in the INTERVAL, COMPARE or STRIDES BioResource studies will be invited to take part.

The TRACK-COVID study is being conducted by researchers at the University of Cambridge to investigate why some people have symptoms of the new coronavirus (SARS-CoV-2 virus) and others don’t will help to determine the extent of infection in the general population as well as it will help to design new ways to prevent and treat such infections.

The aim of this research is to determine risk factors for infection of the novel coronavirus (COVID-19). The secondary aim to investigate why some people who carry the virus are symptomatic while others never are.

The research will provide a better understanding of the biological and environmental determinants of COVID-19 virus.",,SLAM
707,"Randomised, double-blind, multicentre phase III trial evaluating the safety and benefit of adding everolimus to adjuvant hormone therapy in women with high risk of relapse, ER+ and HER2- primary breast cancer who remain free of disease (UNIRAD).",,N/A
708,"A continuously ascertained, record level dataset of COPD patients attending pulmonary rehabilitation services in England Scotland and Wales. Data collection commenced in March 2019 and includes patient demographics, referral information, assessment, programme enrolment, discharge.",,NOT APPLICABLE
709,"Lymphangioleiomyomatosis (LAM) is a rare lung and lymphatic disease categorised by infiltration of smooth muscle type cells in the lungs and lymphatics leading to progressive respiratory impairment. The disease only effects women and is caused by a defect in one of the two proteins associated with tuberous sclerosis, tuberin and hamartin.",,NOT APPLICABLE
710,"CPRD GOLD linked Hospital Episode Statistics Admitted Patient Care (HES APC) data contain details of all admissions to, or attendances at English NHS healthcare providers. This includes private patients treated in NHS hospitals, patients resident outside of England and care delivered by treatment centres (including those in the independent sector) funded by the NHS. All NHS healthcare providers in England, including acute hospital trusts, primary care trusts and mental health trusts, provide data.
HES APC data include the complete set of hospital episode information (admission and discharge dates, diagnoses (identifying primary diagnosis), specialists seen under and procedures undertaken) for each linked patient with a hospitalisation record. In addition, Augmented care data (intensive and/or high dependency levels of care) and Maternity data are available.",,NOT APPLICABLE
711,"The aim of this fellowship is to use an online case management training application to facilitate final year medical students on the correct identification and management of pneumonia in children under five. Improved knowledge and skills of the undergraduate medical students in correct identification and treatment of childhood pneumonia will enable them to deal with cases more effectively, reducing pneumonia related morbidity and mortality in children under five. This innovative curriculum format could also be adapted to improve case management of other common paediatric illnesses.

For further information, see: https://www.ed.ac.uk/usher/respire/respire-fellowships/nomana-zeeshan",,National Clinical Audit and Patient Outcomes Programme (NCAPOP)
712,"People who experience frequent headaches completed a battery of attention-based computer tasks on two separate occasions: once when they were experiencing a headache, and again when headache free. The tasks were: a flanker task, n-back task, attentional switching task, and dual task. Outcomes are speed of response and/or accuracy scores on these tasks.",,National Clinical Audit and Patient Outcomes Programme (NCAPOP)
713,"A cross-sectional deep profiling study examining HIV-SN was conducted in people
living with HIV in a high resource setting using a battery of measures which included the following:
- parameters of pain and sensory symptoms
- sensory innervation
- psychological state 
- quality of life
36 healthy volunteers and 66 HIV infected participants were recruited for this study.",,No Group
714,"The current COVID-19 pandemic, caused by the SARS-CoV-2 virus, represents a major threat to health in the UK and globally. To fully understand the transmission and evolution of the virus requires sequencing and analysing viral genomes at scale and speed. The numbers of samples calls for a rapid increase in the UK’s pathogen genome sequencing capacity rapidly and robustly.

To provide this increased capacity to collect, sequence and analyse the whole genomes of virus samples in the UK, the COVID-19 Genomics UK (COG-UK) consortium is pooling the world leading knowledge and expertise in genomics of the four UK Public Health Agencies, multiple regional University hubs, and large sequencing centres such as the Wellcome Sanger Institute.",,"SUS, PRIMARY CARE, MENTAL HEALTH, COMMUNITY"
715,"A collaboration between the Universities of Edinburgh, Glasgow, Dundee and Aberdeen, and NHS Scotland, to provide resources for genetic and medical research.

The Scottish Family Health Study (GS:SFHS) is a collection of genetic, medical, familThe Generation Scotland: Scottish Family Health Study (GS:SFHS) is a collection of genetic, medical, family history and lifestyle information from over 24,000 volunteers. It is an intensively phenotyped, family-based cohort for the study of the genetic basis of common complex diseases and response to treatments. The cohort includes just over 24,000 participants recruited 2006-11, with most consenting to record linkage and recontact. Participants gave blood or saliva samples (for processing, biochemistry and cryopreservation) and a urine sample.  The blood or saliva samples were processed to DNA and extensive genotyping was carried out on over 20,000 participants by 2015, with DNA methylation assayed on 10,000 by 2019. Follow up is primarily through record linkage and includes linkage to GP records and also via online questionnaires, including CovidLife.y history and lifestyle information from over 24,000 volunteers.  it is an intensively phenotyped, family-based cohort for the study of the genetic basis of common complex diseases and response to treatments. The cohort includes just over 24,000 participants recruited 2006-11, with most consenting to record linkage and recontact. Participants gave blood or saliva samples (for processing, biochemistry and cryopreservation) and a urine sample.  The blood or saliva samples were processed to DNA and extensive genotyping was carried out on over 20,000 participants by 2015, with DNA methylation assayed on 10,000 by 2019.",,UKCRC Tissue Directory and Coordination Centre
716,"The NVR organisational audit dataset includes data collected between 9 July and 8 October 2018 on hospital vascular services in England, Wales, Scotland and Northern Ireland. It includes data on the availability of and access to arterial surgical services, personnel and facilities, as well as detailed information about the organisation and systems relating to specific vascular interventions, such as bypass surgery and angioplasty for lower limb ischaemia.",,NOT APPLICABLE
717,"Locally defined dataset containing details of all patient data recorded within PowerForms within the Trust's EHR system. The forms list is too long to note here but includes everything from admission assessments, clinical assessments, referral information and discharge information. With recent system upgrade, these also now include Nursing information.",,NOT APPLICABLE
718,"Atrial fibrillation (AF) is a condition of the heart where the heart control rhythm changes from the normal sinus mode to a rapid activity. It is an irregular and often very rapid heart rhythm, known as a type of arrhythmia that can lead to thrombotic events and cardiac dysfunction. AF increases the risk of stroke, heart failure and other heart-related complications.

The cause is not fully understood, but it tends to affect certain groups of people, such as older people and people living with long-term (chronic) conditions such as heart disease, high blood pressure or obesity. Congenital heart disease, pericarditis, cardiomyopathy, physical and mental stress, also contribute to disease pathogenesis. 

This highly granular dataset includes patient demographics, key lifestyle and underlying health status information, procedures (catheter ablation, electrical cardioversion), medications (beta-blockers, calcium channel blockers, anticoagulants), risk factors and co-morbidities.

PIONEER geography: The West Midlands (WM) has a population of 5.9 million & includes a diverse ethnic & socio-economic mix. 

UHB is one of the largest NHS Trusts in England, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & an expanded 250 ITU bed capacity during COVID. UHB runs a fully electronic healthcare record (EHR) (PICS; Birmingham Systems), a shared primary & secondary care record (Your Care Connected) & a patient portal “My Health”.

Scope: Thematic dataset of Atrial Fibrillation and Atrial Flutter. Longitudinal & individually linked, so that the preceding & subsequent health journey can be mapped & healthcare utilisation prior to & after admission understood. The dataset includes highly granular patient demographics, co-morbidities taken from ICD-10 & SNOMED-CT codes. Serial, structured data pertaining to process of care (timings, admissions, wards, attending practitioner change and triage), presenting complaint, assessments, bed moves, consultation, DNAR TEAL, electrocardiogram, events, follow ups, physiology readings (heart rate, BMI, blood pressure, respiratory rate, NEWS2 score, oxygen saturations and clinical frailty scale and others), Lab analysis results (urea, albumin, platelets, potassium, white blood cell count, Covid 19 test and others) microbiology results, procedures, outpatients admissions, surgeries, therapies,  ventilation, drug administered and all outcomes.  Linked images available (radiographs, CT scans, MRI).

Available supplementary data: Matched controls; ambulance, OMOP data, synthetic data.

Available supplementary support: Analytics, Model build, validation & refinement; A.I.; Data partner support for ETL (extract, transform & load) process, Clinical expertise, Patient & end-user access, Purchaser access, Regulatory requirements, Data-driven trials, “fast screen” services.",,HES
719,"The aim of the school health service is to promote the physical, mental and social well-being of children within a school setting. It also provides remedial action and support for pupils with health problems and services for pupils with special educational needs. The Child Health Systems Programme School System (CHSP School) facilitates the call/recall of both primary and secondary school pupils for screening, review and immunisation. It records referrals and referral updates as well as supporting efficient and effective administrative practice.",,NOT APPLICABLE
720,Information about looked after children. Includes demographic and episode level information.,,Born in Bradford
721,"King's Health Partners Cancer Biobank collects blood, tissue and urine samples from patients with a range of cancer types who are referred to Guy's & St Thomas' NHS Trust. The Breast Biobank alone has been providing tumour samples with matching clinico-pathological data for research studies since the 1970's. Other tumour types including lung, head and neck, prostate, UGI, bladder, colorectal, lymphoma and MPD have been added since 2008. The Biobank is accessible to both academic groups and commercial companies.",,2019 UK Parkinson's Audit
722,"The dataset contains continuously ascertained patient-level data for patients undergoing lower limb amputation in NHS hospitals in England, Wales, Scotland and Northern Ireland. It includes information on referral, pre-procedural investigations, procedural details, post-operative pathway, additional unplanned procedures, readmission, follow up and in-hospital and 30-day mortality.",,No Group
723,"Many people with chronic obstructive pulmonary disease (COPD) remain very breathless and limited. In some patients, with the appropriate pattern of emphysema, an operation called lung volume reduction surgery is effective at removing the worst affected area of lung. New techniques have been developed where emphysema can be treated using a fibre-optic camera called a bronchoscope. Trials have shown that using a bronchoscope to place endobronchial valves into the airways can be very effective in carefully selected patients and the technique is now being adopted in hospitals across the UK.

This study will collect data from people undergoing these procedures at hospitals across the UK to evaluate how well they work in practice and what factors at baseline influence response.

Baseline, three month and 12 month follow up data will be collected. This will include lung function data, measures of exercise capacity, questionnaires about health status and CT scan results.

Questions addressed will include:

(1) What lung function improvement is seen in clinical practice?

(2) What factors determine who is most likely to respond?

(3) How safe are the procedures and what is the rate of complications?

(4) What proportion of people undergoing bronchoscopic procedures require repeat procedures or surgery subsequently?

(5) Does long term survival differ between people undergoing the different treatments?

The study is supported by The British Lung Foundation and sponsored by Imperial College, London. By building collaboration, the establishment of the network will also produce a structure that will make evaluation of future bronchoscopic techniques easier bringing innovative treatments into play more quickly.",,NOT APPLICABLE
724,,,UKCRC Tissue Directory and Coordination Centre
725,"Each year, an estimated 33.1 million episodes of RSV-associated acute lower respiratory infections occur among under-five children globally, leading to 3.2 million hospitalisations and 118,200 deaths. The burden of RSV-associated severe acute lower respiratory tract infection is ten times higher in developing countries compared to that in developed countries (36.1 per 1000 life birth vs 3.2 per 1000 life birth, respectively). 

In addition to acute mortality and morbidity, RSV infection has a long-term effect on children’s health. RSV infection can induce a state of bronchial hyper-reactivity that has an association with the development of asthma in later life, which, in turn, is a significant risk factor of chronic obstructive pulmonary disease in adulthood.

In this study, we are collecting longitudinal data of a group of 2,274 children aged between 6-8 years in three South Asian countries, namely Bangladesh, India and Pakistan.  Among these children, 402 had RSV infection in their first two months of life; the remaining 1,873 children did not have such conditions at the same period confirmed by laboratory testing.

Health workers are routinely visiting households of eligible children. Children whose parents provided consent are visited three times in one year period, at baseline, after six months and the end of the year. In the first visit, a research assistant explained the study objectives and procedures to a family member (primarily the mother) of the eligible children to provide consent for enrolling the children in the study.  The parents of the consented children were being interviewed using a structured questionnaire to record the current and previous health status of children. The asthma sign and symptoms were recorded using a questionnaire designed following the International Study of Allergies and Asthma in Childhood (ISAAC). During the second and third visits, similar questionnaires of the first visit are being planned to use for data collection. All children are intended to assess by a research physician to record the physical growth, lung function, exercise tolerance, and blood eosinophil level.

For more information please see: https://www.ed.ac.uk/usher/respire/acute-respiratory-disorders/rsv-infection",,UKCRC Tissue Directory and Coordination Centre
726,"Attendance information for all NHS Wales hospital outpatient appointments.

The data are collected and coded at each hospital. Administrative information is collected from the central PAS (Patient Administrative System), such as specialty of care, appointment date and attendance status.

This dataset contains all scheduled outpatient appointments, including those where the patient failed to attend.",,National Clinical Audit and Patient Outcomes Programme (NCAPOP)
727,"The NHS Greater Glasgow & Clyde Bio-repository is part of NHS Scotland NHS Research Scotland Infrastructure. There is a network of Bio-repository across Scotland designed to encourage use of tissue in research and boost availability of tissue across Scotland.
Each Bio-repository node holds the responsibility for tissue governance for local and partner Health Boards with a main focus on facilitating access to surplus diagnostic and surgical tissue for use in research.",,GEN
728,"The NIHR Bioresource consists of several groups of participants: ~70k from the general population and blood donors (COMPARE, INTERVAL and STRIDES studies); ~19k with one of ~50 rare diseases (RD) including a ~5k pilot for GEL; ~30k with Inflammatory Bowel Disease (IBD) which include the members of Gut Reaction, the Health Data Research Hub for IBD; and ~20k with Anxiety or depression (GLAD study). It intends to extend recruitment in all areas, and to other rare and common disease groups, with a target of ~300k by 2022.  The NIHR BioResource acquires a self-reported health and lifestyle questionnaire from all participants at recruitment, save those recruited in rare disease clinics. Typically variables include height, weight, smoking history and alcohol consumption, with addition of questions relating to disease history and current medications. This is used to pre-screen or match participants when inviting them to take part in experimental medicine studies. De-identified versions of this data are available to researchers investigating the feasibility of future studies.",,Cancer Registry
729,"Primary care prescriptions for patients in the Tayside and Fife regions in Scotland. The data contains granular information such as drug strength, unit and dose.
Tayside 1989 – Current; Fife 2009 – onwards.
The data is coded using the BNF standard but can also be provided with SNOMED/DM+D codes, or in the OMOP format.",,In Progress
730,"DecodeME aims to find genetic causes of why people become ill with ME/CFS. It aims to recruit 25,000 participants in the UK who have been diagnosed with ME/CFS by a health professional. Participants are assessed according to Canadian Consensus and Institute of Medicine (NAM) criteria. Participant data has been collected using the CureME Questionnaire with additional questions. 5,000 of these participants will have been diagnosed with ME/CFS following COVID-19 infection. Phenotype data include information relating to post-exertional malaise, fatigue and pain symptoms.",,No Group
731,"A global solution to a global problem.
Mesobank is a Research Tissue Bank dedicated to the study of mesothelioma. We provide a comprehensive sample and data set from patients with mesothelioma and support biomedical research directly concerned with asbestos related disease undertaken within the UK, EEA, USA, Canada, Australia and New Zealand..",,University of Dundee Health Informatics Centre
732,A retrospective sample collection of formalin fixed paraffin embedded (FFPE) pre-treatment diagnostic biopsies from patients with Head and Neck Squamous Cell carcinoma (HNSCC) enrolled on the NIMRAD trial.,,National Clinical Audit and Patient Outcomes Programme (NCAPOP)
733,"The dataset is described on the study website at https://www.ed.ac.uk/viking
The data dictionary for the VIKING II study has DOI https://doi.org/10.7488/ds/3145.",,National Clinical Audit and Patient Outcomes Programme (NCAPOP)
734,"CHILL is a research study which aims to find out whether reducing air pollution from traffic is good for children’s health. We are particularly interested in whether interventions to reduce air pollution can improve children’s lung growth and respiratory symptoms, activity levels and brain function. We are also interested in whether exposure to air pollution in childhood leaves markers on genes that reflect pollution levels over time. We have recruited over 3,300 primary school pupils across London and Luton to take part from 44 London schools and 41 Luton schools. These children will be assessed once a year for up to four years.",,CPRD GOLD
