,accessRights,dataController,jurisdiction,dataProcessor,accessRequestCost,deliveryLeadTime,accessService
504,['https://saildatabank.com/application-process/'],University Hospitals Birmingham NHS Foundation Trust,['GB-ENG'],RESPIRE,Not specified,2-4 WEEKS,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
505,['https://www.qresearch.org/information/information-for-researchers/'],Clinical Practice Research Datalink (CPRD),"['GB-ENG', 'GB-SCT']","University of Dundee, Health Informatics Centre",Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/FAQ-eDRIS/index.asp#a4 ; Information Request Service - https://www.isdscotland.org/About-ISD/Information-Requests/,OTHER,The data is hosted by the Oxford University Research Archive and access is free.
506,['In Progress'],SAIL Databank,GB-ENG,"University of Dundee, Health Informatics Centre","['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",1-2 MONTHS,"Remote Desktop to dedicated Windows Server.

Standard Server Spec:
16GB RAM, 4 Logical Xeon Gold Processors, 200 GB HDD

Max available Server Spec:
512GB RAM, 72 Logical Xeon Gold Processors, 2TB HDD. Tesla V100 GPU"
507,['https://www.ed.ac.uk/usher/respire/about/projects'],Healthcare Quality Improvement Partnership jointly with NHS England,['GB-ENG'],NOT APPLICABLE,['In Progress'],VARIABLE,"Remote Desktop to dedicated Windows Server.

Standard Server Spec:
16GB RAM, 4 Logical Xeon Gold Processors, 200 GB HDD

Max available Server Spec:
512GB RAM, 72 Logical Xeon Gold Processors, 2TB HDD. Tesla V100 GPU"
508,Please contact the publisher using Contact Point details provided.,"Professor Neena Modi, Imperial College London",['GB-ENG'],"Data processors are NIHR BioResource staff, others with Letters of Access to CUH and approved members of staff at the data centre (AIMES, https://aimes.uk/)","['Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/', 'Bespoke data analysis requests - https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED.,"INSIGHT adheres to HDRUK data access principles including the five SAFES; anonymised data is provided into an agreed Trusted Research Environment such as the PIONEER Microsoft Azure TRE at University Hospitals Birmingham NHSFT or equivalent external safe environment, under data license."
509,['https://saildatabank.com/application-process/'],University of Liverpool,['GB-ENG'],Not Applicable,Not specified,VARIABLE,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
510,Please contact the publisher using Contact Point details provided,Brecon Group,['GB-ENG'],NHS BRENT CCG,['https://www.insight.hdrhub.org/'],VARIABLE,"Researchers will have access to a VDI environment with a specific username and password. The researchers will get access to the datasets that is present in the hub's catalogue and would be able to carry out their research within the safe haven. There are restrictions applied which prevents the researchers from taking data out of the safe haven, once the research/analysis is completed the admin team will need to be contacted for taking the analysis off the safe haven"
511,['https://www.informationgovernance.scot.nhs.uk/pbpphsc/https://www.isdscotland.org/About-ISD/Information-Requests/https://www.isdscotland.org/Products-and-Services/eDRIS/'],Healthcare Quality Improvement Partnership jointly with NHS England,GB-ENG,Not Applicable,['http://www.hscbusiness.hscni.net/pdf/Researcher%20Pack.zip'],2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
512,Please contact the publisher using Contact Point details provided.,Business Services Organisation,"['GB-ENG', 'GB-SCT', 'GB-WLS']",HSC Honest Broker Service,['https://www.cprd.com/pricing'],2-6 MONTHS,"Once your DARS application has been approved, data will be made available either by secure file transfer or through the Data Access Environment (DAE). BL

Secure file transfer: https://digital.nhs.uk/services/transfer-data-securely

DAE: https://digital.nhs.uk/services/data-access-environment-dae"
513,['https://saildatabank.com/application-process/'],Leeds Teaching Hospital Trust,['GB-WLS'],Cystic Fibrosis Trust,['0 GBP'],OTHER,"Once your DARS application has been approved, data will be made available either by secure file transfer or through the Data Access Environment (DAE).

Secure file transfer: https://digital.nhs.uk/services/transfer-data-securely

DAE: https://digital.nhs.uk/services/data-access-environment-dae"
514,['https://ed.ac.uk.usher/respire/about/projects'],HDR UK,"['GB-ENG', 'GB-GB', 'AF']",Not Applicable,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",VARIABLE,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
515,['https://www.ucl.ac.uk/health-informatics/research/vivaldi-study/vivaldi-privacy-notice'],University of Edinburgh,GB-GBN,Not Applicable,Not specified,2-6 MONTHS,"Data Access Applications are reviewed monthly by the Born in Bradford Executive Group. For the majority of Data Access Applications, an extract of data fitting the requirements of the research will be provided for use by the researcher at their institution. The extract will only contain the variables required by the research. A Data Sharing Contract and Agreement will need to be signed by the researcher's institution and Bradford Teaching Hospitals NHS Foundation Trust.

For more information see https://borninbradford.nhs.uk/research/how-to-access-data/"
516,['https://saildatabank.com/application-process/'],SAIL Databank,GB-ENG,Not Applicable,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",1-2 MONTHS,The audit team at Parkinson's UK will respond to all requests for access to this data within 5 working days
517,"['https://www.rcplondon.ac.uk/guidelines-policy/applying-work-falls-and-fragility-fracture-audit-programme-data', 'https://www.hqip.org.uk/national-programmes/accessing-ncapop-data']",Cambridge University Hospitals NHS Foundation Trust (CUH),['GB-WLS'],Welsh Ambulance Services NHS Trust,['https://www.cprd.com/pricing'],1-2 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
518,['https://www.thereachstudy.com/information-for-researchers.html'],SAIL Databank,"['GB-ENG', 'GB-SCT', 'GB-WLS', 'GB-NIR']",NHS Benchmarking Network,https://digital.nhs.uk/services/data-access-request-service-dars/data-access-request-service-dars-charges,2-6 MONTHS,IN PROGRESS
519,['https://www.pioneerdatahub.co.uk/data/data-request-process/'],London School of Hygiene & Tropical Medicine,GB,NOT APPLICABLE,"Whilst the UK CF Registry does not charge for data, it must recoup costs of data handling (including extract and cleaning), project management, and analysis (where applicable) on behalf of third parties. The charging structure outlined below is designed to be fair, proportionate, and transparent whilst furthering the Registry’s aim of stimulating research use of the data for the benefit of people with cystic fibrosis.https://www.cysticfibrosis.org.uk/the-work-we-do/uk-cf-registry/apply-for-data-from-the-uk-cf-registry",1-2 MONTHS,Scottish National Data Safe Haven - https://www.isdscotland.org/Products-and-Services/eDRIS/
520,Please contact the publisher using Contact Point details provided,IDAMAC,['GB'],HSC Honest Broker Service,"Whilst the UK CF Registry does not charge for data, it must recoup costs of data handling (including extract and cleaning), project management, and analysis (where applicable) on behalf of third parties. The charging structure outlined below is designed to be fair, proportionate, and transparent whilst furthering the Registry’s aim of stimulating research use of the data for the benefit of people with cystic fibrosis.

https://www.cysticfibrosis.org.uk/the-work-we-do/uk-cf-registry/apply-for-data-from-the-uk-cf-registry",2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
521,['https://www.pioneerdatahub.co.uk/data/data-request-process/'],RESPIRE,['GB-GB'],NHS Benchmarking Network,['[http://www.millionwomenstudy.org/data_access/]'],OTHER,"HIC has implemented a remote-access Trusted Research Environment to protect data confidentiality, satisfy public concerns about data loss and reassure Data Controllers about HIC’s secure management and processing of their data.

Data is not released externally to data users for analysis on their own computers but placed on a server at HIC, within a restricted, secure IT environment, where the data user is given secure remote access to carry out their analysis.

Full details are available via the following link:
https://www.dundee.ac.uk/hic/hicsafehaven/"
522,['www.gov.uk/government/publications/accessing-public-health-england-data/about-the-phe-odr-and-accessing-data'],Business Services Organisation (BSO),GB-GBN,Public Health Scotland,['http://www.hscbusiness.hscni.net/pdf/Researcher%20Pack.zip'],1-2 MONTHS,"Access to CPRD data, including UK Primary Care Data, and linked data such as Hospital Episode Statistics, is subject to protocol approval via CPRD’s Research Data Governance (RDG) Process. Independent scientific and patient advice is provided by Expert Review Committees (ERCs) and the Central Advisory Committee (CAC): https://www.cprd.com/research-applications"
523,['https://www.epic-norfolk.org.uk/for-researchers/data-sharing/data-requests/'],Public Health Scotland,['GB-EAW'],CPRD,['Quotation available on request'],2-4 WEEKS,"Researchers will have access to a VDI environment with a specific username and password. The researchers will get access to the datasets that is present in the hub's catalogue and would be able to carry out their research within the safe haven. There are restrictions applied which prevents the researchers from taking data out of the safe haven, once the research/analysis is completed the admin team will need to be contacted for taking the analysis off the safe haven"
524,['In Progress'],The Institute of Cancer Research and The Royal Marsden NHS Foundation Trust,"['GB-ENG', 'GB-SCT', 'GB-WLS']",University of Edinburgh,Not specified,2-4 WEEKS,"Once your DARS application has been approved, data will be made available either by secure file transfer or through the Data Access Environment (DAE).

Secure file transfer: https://digital.nhs.uk/services/transfer-data-securely

DAE: https://digital.nhs.uk/services/data-access-environment-dae"
525,['HTTPS://CPRD.COM/DATA-ACCESS'],Public Health Scotland,GB-WLS,Cystic Fibrosis Trust,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",OTHER,To be determined upon data access request
526,['https://www.ed.ac.uk/usher/respire/contact-us'],National Records Scotland,['GB'],"University of Dundee, Health Informatics Centre","['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data', 'https://www.rcplondon.ac.uk/guidelines-policy/applying-work-falls-and-fragility-fracture-audit-programme-data']",2-4 WEEKS,"Access to CPRD data, including UK Primary Care Data, and linked data such as Hospital Episode Statistics, is subject to protocol approval via CPRD’s Research Data Governance (RDG) Process. Independent scientific and patient advice is provided by Expert Review Committees (ERCs) and the Central Advisory Committee (CAC): https://www.cprd.com/research-applications"
527,['https://saildatabank.com/application-process/'],Centre for Longitudinal Studies (CLS),['GB-ENG'],SAIL Databank,['https://www.isdscotland.org/Products-and-Services/eDRIS/'],NOT APPLICABLE,https://saildatabank.com/application-process/
528,['https://www.insight.hdrhub.org/'],Cambridge University Hospitals NHS Foundation Trust (CUH),['GB-GBN'],Cystic Fibrosis Trust,Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
529,"https://www.hqip.org.uk/national-programmes/accessing-ncapop-data
https://www.nicor.org.uk/for-researchers/data-sharing-application-process/",Not Available,['GB'],SAIL Databank,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",1-2 MONTHS,Scottish National Safe Haven / Trusted Research Environment
530,"['https://canceralliance.wyhpartnership.co.uk/', 'http://www.yhcr.org']",Public Health Scotland,['GB-EAW'],Royal College of Surgeons of England,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
531,['https://saildatabank.com/application-process/'],SHARE (GSK data sharing team),['GB'],University of Edinburgh,In Progress,1-2 MONTHS,Access service varies on a project-by-project basis. Contact the RESPIRE team for further in formation
532,['https://opcrd.co.uk/our-database/data-requests/'],University Hospitals Birmingham NHS Foundation Trust,GB-ENG,RESPIRE,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",16 WEEKS (8 WEEKS FOR COMMITTEE DECISION AND 8 WEEKS FOR DATA EXTRACTION AND PROCESSING),"NB: Mortality data is available for National Core Studies ONLY

Remote access can now be granted via an HSCNI tenancy of the UK Secure e-Research Platform (UK SeRP), the HBS still offer the physical safe setting in Belfast for local research."
533,"['https://saildatabank.com/application-process/', 'https://exceed.org.uk/research/']",Joint data controller model across North West London,GB-GBN,SAIL Databank,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",OTHER,
534,['https://saildatabank.com/application-process/'],Office for National Statistics,GB,SAIL Databank,['Available at no cost at the point of use'],PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED.,
535,['https://renal.org/audit-research/how-access-data/ukrr-data/apply-access-ukrr-data'],Office for National Statistics,['GB-EAW'],SAIL Databank,Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,
536,['https://bioresource.nihr.ac.uk/using-our-bioresource'],SAIL Databank,['GB-NIR'],NOT APPLICABLE,"['Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/', 'Bespoke data analysis requests - https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED.,
537,['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data\nhttps://www.vsqip.org.uk/about-us/accessing-nvr-data/'],RESPIRE,GB,Not Applicable,['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data\nhttps://www.vsqip.org.uk/about-us/accessing-nvr-data/'],2-6 MONTHS,
538,['To be determined upon data access request'],Joint data controller model across North West London,['GB-ENG'],CPRD,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",OTHER,
539,['Exclusively for national emergency response for COVID-19'],RESPIRE,['IN'],RESPIRE,['https://bioresource.nihr.ac.uk/using-our-bioresource/industry-researchers/industry-bioresource-usage-costs/'],VARIABLE,
540,['https://saildatabank.com/application-process/'],University of Nottingham,GB-WLS,Not Applicable,Costs dependent on number of users and number of years access is required for.,1-2 MONTHS,
541,['https://www.pioneerdatahub.co.uk/data/data-request-process/'],University of Dundee,['GB-GB'],NOT APPLICABLE,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",OTHER,
542,['HTTPS://CPRD.COM/DATA-ACCESS'],NHS Tayside,GB-GBN,RESPIRE,['https://www.qresearch.org/information/information-for-researchers/'],VARIABLE,
543,['https://saildatabank.com/application-process/'],NHS DIGITAL,GB-GBN,NEC Software Solutions,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",VARIABLE,
544,"['http://www.njrcentre.org.uk/njrcentre/Research/Research-requests', 'https://www.hqip.org.uk/national-programmes/accessing-ncapop-data']",Parkinson's UK,GB-ENG,HSC Honest Broker Service,['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data'],VARIABLE,
545,['https://www.imperial.ac.uk/neonatal-data-analysis-unit/neonatal-data-analysis-unit/utilising-the-national-neonatal-research-database/'],Cambridge University Hospitals NHS Foundation Trust (CUH),['GB'],SAIL Databank,Cost recovery.,VARIABLE,
546,Please contact the publisher using Contact Point details provided,Cardiff University,['MY'],CPRD,Not specified,16 WEEKS (8 WEEKS FOR COMMITTEE DECISION AND 8 WEEKS FOR DATA EXTRACTION AND PROCESSING),
547,"https://www.hqip.org.uk/national-programmes/accessing-ncapop-data
https://www.rcpch.ac.uk/sites/default/files/2018-05/npda_data_access_may2018v2_0.pdf",Joint data controller model across North West London,GB-ENG,"Data processors are NIHR BioResource staff, others with Letters of Access to CUH and approved members of staff at the data centre (AIMES, https://aimes.uk/)","['https://www.rcplondon.ac.uk/projects/outputs/national-asthma-and-copd-audit-programme-nacap-resources', 'https://www.hqip.org.uk/national-programmes/accessing-ncapop-data']",OTHER,
548,['https://saildatabank.com/application-process/'],Newcastle University,['GB-NIR'],Office for National Statistics,['https://www.cprd.com/pricing'],2-4 WEEKS,
549,"['https://www.rcplondon.ac.uk/projects/outputs/national-asthma-and-copd-audit-programme-nacap-resources', 'https://www.hqip.org.uk/national-programmes/accessing-ncapop-data']",Public Health Agency (PHA) NI,['GB-GBN'],Centre for Longitudinal Studies (CLS),['0 GBP'],2-6 MONTHS,
550,['http://www.hscbusiness.hscni.net/services/2454.htm'],Cystic Fibrosis Trust,GB-ENG,NOT APPLICABLE,['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data\nhttps://www.vsqip.org.uk/about-us/accessing-nvr-data/'],16 WEEKS (8 WEEKS FOR COMMITTEE DECISION AND 8 WEEKS FOR DATA EXTRACTION AND PROCESSING),
551,['In Progress'],The Christie NHS Foundation Trust,['GB-GBN'],SAIL Databank,['www.pioneerdatahub.co.uk/data/data-services-costs/'],2-6 MONTHS,
552,['https://raw.githubusercontent.com/HDRUK/papers/master/LICENSE'],Cardiff University,['GB-GBN'],SAIL Databank,"['Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/', 'Bespoke data analysis requests - https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",VARIABLE,
553,['https://www.ed.ac.uk/usher/respire/about/projects '],University of Exeter,['GB-GBN'],Not Applicable,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",VARIABLE,
554,['https://saildatabank.com/application-process/'],Welsh Ambulance Services NHS Trust,['GB-GBN'],Public Health Scotland,Not specified,OTHER,
555,['https://bioresource.nihr.ac.uk/using-our-bioresource'],Healthcare Quality Improvement Partnership jointly with NHS England,GB,CPRD,['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data\nhttps://www.vsqip.org.uk/about-us/accessing-nvr-data/'],2-6 MONTHS,
556,['https://saildatabank.com/application-process/'],BREATHE,GB-GBN,SAIL Databank,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",2-6 MONTHS,
557,"https://www.hqip.org.uk/national-programmes/accessing-ncapop-data
https://www.picanet.org.uk/data-collection/data-requests/","HSC Health Trusts (Belfast, Northern, South Eastern, Southern and Western)",['GB-GBN'],NOT APPLICABLE,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",1-2 MONTHS,
558,Please contact the publisher using Contact Point details provided,Healthcare Quality Improvement Partnership jointly with NHS England,GB-GBN,Not Applicable,Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED.,
559,['https://isaric4c.net/sample_access/'],Public Health Scotland,GB-GBN,Not Applicable,['https://bioresource.nihr.ac.uk/using-our-bioresource/industry-researchers/industry-bioresource-usage-costs/'],VARIABLE,
560,['https://www.ed.ac.uk/usher/respire/about/projects'],Imperial College London,GB,Cystic Fibrosis Trust,['Quotation available on request'],PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,
561,In Progress,Clinical Practice Research Datalink,GB-WLS,CPRD,Not specified,2-4 WEEKS,
562,['http://www.hscbusiness.hscni.net/services/2454.htm'],University of Edinburgh,['GB-GBN'],Not Applicable,Not specified,1-2 MONTHS,
563,"['https://www.informationgovernance.scot.nhs.uk/pbpphsc/https://www.isdscotland.org/About-ISD/Information-Requests/https://www.isdscotland.org/Products-and-Services/eDRIS/', 'https://www.isdscotland.org/Products-and-Services/eDRIS/', 'https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",Cystic Fibrosis Trust,['GB-WLS'],SAIL Databank,"['Charges may apply for new aggregate data and extracts of pseudonymous patient level data. The charges are to recover the costs of managing the application process and preparing extracts of data. The costs depend on the level of service required from the UKRR and whether this is limited to a simple extract of data, or requires additional input such as methodological or statistical support. The UKRR can advise on costs once the expression of interest is received and applicants may also be requested to complete a costing form.']",OTHER,
564,Please contact the publisher using Contact Point details provided.,University of Dundee,['PK'],Not Applicable,Not yet determined,VARIABLE,
565,"['https://www.informationgovernance.scot.nhs.uk/pbpphsc/', 'https://www.isdscotland.org/Products-and-Services/eDRIS/', 'https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",Local NHS boards,['GB'],SAIL Databank,https://bioresource.nihr.ac.uk/using-our-bioresource/industry-researchers/industry-bioresource-usage-costs/,2-6 MONTHS,
566,"['https://www.informationgovernance.scot.nhs.uk/pbpphsc/', 'https://www.isdscotland.org/Products-and-Services/eDRIS/', 'https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']","Cystic Fibrosis Trust, with UK National Health Service (NHS)",['MY'],"University College London
University of Bristol
University of Edinburgh","['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",2-6 MONTHS,
567,['https://cls.ucl.ac.uk/data-access-training/data-access/'],Cystic Fibrosis Trust,['GB-ENG'],Not Applicable,"An indicative cost will be provided to applicants upon application. Charges will be basedon workload associated with the application and will be charged following sharing of thedata. They will include a standard £350 + VAT admin fee to cover consultation andprocessing of the application, plus a £350 + VAT per day of analyst time– chargeable inhalf day increments. These costs are limited to RCPCH activitiy in the administation and preparation of requested data. HQIP will also charge according to their costing model.",VARIABLE,
568,['https://bioresource.nihr.ac.uk/using-our-bioresource'],NHS Wales’ Informatics Service (NWIS),['GB-SCT'],Public Health Scotland,Not specified,2-6 MONTHS,
569,['https://saildatabank.com/application-process/'],Healthcare Quality Improvement Partnership jointly with NHS England,['GB-SCT'],SAIL Databank,['https://bioresource.nihr.ac.uk/using-our-bioresource/industry-researchers/industry-bioresource-usage-costs/'],OTHER,
570,"https://www.hqip.org.uk/national-programmes/accessing-ncapop-data
https://www.picanet.org.uk/data-collection/data-requests/",NHS Lothian,GB-ENG,"North West London CCG
North East London Commissioning Support Unit",['Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/FAQ-eDRIS/index.asp#a4 ; Information Request Service - https://www.isdscotland.org/About-ISD/Information-Requests/'],1-2 MONTHS,
571,"['https://www.informationgovernance.scot.nhs.uk/pbpphsc/', 'https://www.isdscotland.org/Products-and-Services/eDRIS/', 'https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",RESPIRE,['GB-GB'],National Services Scotland,['www.pioneerdatahub.co.uk/data/data-services-costs/'],OTHER,
572,"['www.clinicalstudydatarequest.com', 'https://vivli.org']",SAIL Databank,GB-GBN,NOT APPLICABLE,"['Charges may apply for new aggregate data and extracts of pseudonymous patient level data. The charges are to recover the costs of managing the application process and preparing extracts of data. The costs depend on the level of service required from the UKRR and whether this is limited to a simple extract of data, or requires additional input such as methodological or statistical support. The UKRR can advise on costs once the expression of interest is received and applicants may also be requested to complete a costing form.']",1-2 MONTHS,
573,['https://www.pioneerdatahub.co.uk/data/data-request-process/'],SAIL Databank,GB-WLS,Not Applicable,No cost to access full GWAS Summary statistics (https://www.ebi.ac.uk/gwas/publications/30804560),2-6 MONTHS,
574,['https://imperialcollegehealthpartners.com/discover-now/nwl-covid-data-access/'],SAIL Databank,GB,Not Applicable,['https://www.cprd.com/pricing'],2-6 MONTHS,
575,['https://saildatabank.com/application-process/'],University Hospitals Birmingham NHS Foundation Trust,GB-ENG,HSC Honest Broker Service,['https://www.qresearch.org/information/information-for-researchers/'],PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,
576,['https://www.ons.gov.uk/aboutus/whatwedo/statistics/requestingstatistics/approvedresearcherscheme'],Public Health England,['GB-NIR'],CPRD,www.pioneerdatahub.co.uk/data/data-services-costs/,VARIABLE,
577,['https://saildatabank.com/application-process/'],Clinical Practice Research Datalink,GB,SAIL Databank,Not specified,VARIABLE,
578,['https://ed.ac.uk/usher/respire/about/projects'],RESPIRE,GB-ENG,SAIL Databank,['https://www.cprd.com/pricing'],OTHER,
579,['https://imperialcollegehealthpartners.com/discover-now/nwl-covid-data-access/'],University of Liverpool,GB-WLS,Not Applicable,['www.pioneerdatahub.co.uk/data/data-services-costs/'],1-2 MONTHS,
580,['https://www.ed.ac.uk/usher/respire/about/projects'],Parkinson's UK,GB-ENG,SAIL Databank,Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,
581,['https://localhost'],University Hospitals Birmingham NHS Foundation Trust,['GB'],CPRD,['https://ibdregistry.org.uk/analysis-research'],2-6 MONTHS,
